user_id,user_date_create,user_date_update,user_status,user_gender,user_name_th,user_lastname_th,user_name_en,user_lastname_en,user_identification_id,user_date_of_birth,user_phone_number,user_residence,user_username,user_password
165010001,01/01/2022 00:00:00,01/01/2022 00:00:00,active,-,ผู้ดูแลระบบ,-,Admin,-,-,-,-,-,admin,qNtebTR$8c6976e5b5410415bde908bd4dee15dfb167a9c873fc4bb8a81f6f2ab448a918;0fdcd1d0c7348f31e94d90d5ef4b6a23bac7617073ffe25af5d71062976e6059$TytkgDj
165020002,01/01/2022 00:00:00,01/01/2022 00:00:00,active,-,พนักงาน,-,Staff,-,-,-,-,-,staff,GpgYYhUQmg$1562206543da764123c21bd524674f0a8aaf49c8a89744c97352fe677f7e4006;e5489a449feeec1609005e6e28415117691c068c0b47e7bde7f2eaddfe79d4d3$VBVjtp
165010003,01/01/2022 00:00:00,01/01/2022 00:00:00,active,mr,จิรวัฒน์,บุญมารักษาสกุล,Jirawat,Bunmaraksasakul,1234567891234,01/01/1999,0912345678,1/1 หมู่ที่ 1 ต.หนึ่ง อ.สอง จ.สาม 12345,jirawat.bunm,DSwpL$0b89f8f1132ae59ad319c0f565d318ad2c028f95a0a09b689e290b861f5daac8;b11bc3f8321784e89c6dc3a696047b30a0945f03c59f9045183537ce044c5834$euKNPRNE
165010004,01/01/2022 00:00:00,01/01/2022 00:00:00,inactive,mr,พรนารายณ์,จํารูญ,Pornnarai,Jumroon,2345678912345,02/02/2000,0923456789,2/2 หมู่ที่ 2 ต.สอง อ.สาม จ.สี่ 23456,pornnarai.jumr,LvFWYrja$6df463579b042a6b9594ac88506858c8b42523f6e613c60a5dbce5cd21dc3d1e;bec32ebf0b0bb5698fbcd4a8bdbec854f0b4f256d3aaa30b5b759c38b873f38d$jRueVuqtTi
165010005,01/01/2022 00:00:00,01/01/2022 00:00:00,locked,miss,นวภร,ขลิบบุรินทร์,Nawapon,Klibburin,3456789123456,03/03/2001,0624681357,3/ หมู่ที่ 3 ต.สาม อ.สี่ จ.ห้า 34567,nawapon.klib,Gondzx$327cae2a5bf0ff474926576d2a9bdefa20c26576779bed87e570b889c768e3b0;cbbdd5d1be641ad2fe5193bc896301581ab67429daf8d43cc63bad736f79b04d$JsRGP
165010006,01/01/2022 00:00:00,01/01/2022 00:00:00,locked,miss,นวภร,ขลิบบุรินทร์,Nawapon,Klibburin,3456789123457,04/03/2001,0624681358,3/ หมู่ที่ 3 ต.สาม อ.สี่ จ.ห้า 34568,nawapon.klib,Gondzx$327cae2a5bf0ff474926576d2a9bdefa20c26576779bed87e570b889c768e3b0;cbbdd5d1be641ad2fe5193bc896301581ab67429daf8d43cc63bad736f79b04d$JsRGP
165010007,01/01/2022 00:00:00,01/01/2022 00:00:00,locked,miss,นวภร,ขลิบบุรินทร์,Nawapon,Klibburin,3456789123458,05/03/2001,0624681359,3/ หมู่ที่ 3 ต.สาม อ.สี่ จ.ห้า 34569,nawapon.klib,Gondzx$327cae2a5bf0ff474926576d2a9bdefa20c26576779bed87e570b889c768e3b0;cbbdd5d1be641ad2fe5193bc896301581ab67429daf8d43cc63bad736f79b04d$JsRGP
165010008,01/01/2022 00:00:00,01/01/2022 00:00:00,locked,miss,นวภร,ขลิบบุรินทร์,Nawapon,Klibburin,3456789123459,06/03/2001,0624681360,3/ หมู่ที่ 3 ต.สาม อ.สี่ จ.ห้า 34570,nawapon.klib,Gondzx$327cae2a5bf0ff474926576d2a9bdefa20c26576779bed87e570b889c768e3b0;cbbdd5d1be641ad2fe5193bc896301581ab67429daf8d43cc63bad736f79b04d$JsRGP
165010009,01/01/2022 00:00:00,01/01/2022 00:00:00,locked,miss,นวภร,ขลิบบุรินทร์,Nawapon,Klibburin,3456789123460,07/03/2001,0624681361,3/ หมู่ที่ 3 ต.สาม อ.สี่ จ.ห้า 34571,nawapon.klib,Gondzx$327cae2a5bf0ff474926576d2a9bdefa20c26576779bed87e570b889c768e3b0;cbbdd5d1be641ad2fe5193bc896301581ab67429daf8d43cc63bad736f79b04d$JsRGP
165010010,01/01/2022 00:00:00,01/01/2022 00:00:00,locked,miss,นวภร,ขลิบบุรินทร์,Nawapon,Klibburin,3456789123461,08/03/2001,0624681362,3/ หมู่ที่ 3 ต.สาม อ.สี่ จ.ห้า 34572,nawapon.klib,Gondzx$327cae2a5bf0ff474926576d2a9bdefa20c26576779bed87e570b889c768e3b0;cbbdd5d1be641ad2fe5193bc896301581ab67429daf8d43cc63bad736f79b04d$JsRGP
165010011,01/01/2022 00:00:00,01/01/2022 00:00:00,locked,miss,นวภร,ขลิบบุรินทร์,Nawapon,Klibburin,3456789123462,09/03/2001,0624681363,3/ หมู่ที่ 3 ต.สาม อ.สี่ จ.ห้า 34573,nawapon.klib,Gondzx$327cae2a5bf0ff474926576d2a9bdefa20c26576779bed87e570b889c768e3b0;cbbdd5d1be641ad2fe5193bc896301581ab67429daf8d43cc63bad736f79b04d$JsRGP
165010012,01/01/2022 00:00:00,01/01/2022 00:00:00,locked,miss,นวภร,ขลิบบุรินทร์,Nawapon,Klibburin,3456789123463,10/03/2001,0624681364,3/ หมู่ที่ 3 ต.สาม อ.สี่ จ.ห้า 34574,nawapon.klib,Gondzx$327cae2a5bf0ff474926576d2a9bdefa20c26576779bed87e570b889c768e3b0;cbbdd5d1be641ad2fe5193bc896301581ab67429daf8d43cc63bad736f79b04d$JsRGP
165010013,01/01/2022 00:00:00,01/01/2022 00:00:00,locked,miss,นวภร,ขลิบบุรินทร์,Nawapon,Klibburin,3456789123464,11/03/2001,0624681365,3/ หมู่ที่ 3 ต.สาม อ.สี่ จ.ห้า 34575,nawapon.klib,Gondzx$327cae2a5bf0ff474926576d2a9bdefa20c26576779bed87e570b889c768e3b0;cbbdd5d1be641ad2fe5193bc896301581ab67429daf8d43cc63bad736f79b04d$JsRGP
165010014,01/01/2022 00:00:00,01/01/2022 00:00:00,locked,miss,นวภร,ขลิบบุรินทร์,Nawapon,Klibburin,3456789123465,12/03/2001,0624681366,3/ หมู่ที่ 3 ต.สาม อ.สี่ จ.ห้า 34576,nawapon.klib,Gondzx$327cae2a5bf0ff474926576d2a9bdefa20c26576779bed87e570b889c768e3b0;cbbdd5d1be641ad2fe5193bc896301581ab67429daf8d43cc63bad736f79b04d$JsRGP
165010015,01/01/2022 00:00:00,01/01/2022 00:00:00,locked,miss,นวภร,ขลิบบุรินทร์,Nawapon,Klibburin,3456789123466,13/03/2001,0624681367,3/ หมู่ที่ 3 ต.สาม อ.สี่ จ.ห้า 34577,nawapon.klib,Gondzx$327cae2a5bf0ff474926576d2a9bdefa20c26576779bed87e570b889c768e3b0;cbbdd5d1be641ad2fe5193bc896301581ab67429daf8d43cc63bad736f79b04d$JsRGP
165010016,01/01/2022 00:00:00,01/01/2022 00:00:00,locked,miss,นวภร,ขลิบบุรินทร์,Nawapon,Klibburin,3456789123467,14/03/2001,0624681368,3/ หมู่ที่ 3 ต.สาม อ.สี่ จ.ห้า 34578,nawapon.klib,Gondzx$327cae2a5bf0ff474926576d2a9bdefa20c26576779bed87e570b889c768e3b0;cbbdd5d1be641ad2fe5193bc896301581ab67429daf8d43cc63bad736f79b04d$JsRGP
